2200
0/1 9406912075/16777216 1100/1 9406912075/16777216
0/1 335549584975/536870912 1100/1 335549584975/536870912
0/1 139633828125/134217728 1100/1 139633828125/134217728
230459317275/536870912 0/1 230459317275/536870912 1100/1
458553093625/536870912 0/1 458553093625/536870912 1100/1
107848762175/268435456 0/1 107848762175/268435456 1100/1
151989185975/536870912 0/1 151989185975/536870912 1100/1
0/1 24947731875/33554432 1100/1 24947731875/33554432
0/1 6972672025/268435456 1100/1 6972672025/268435456
30401121025/268435456 0/1 30401121025/268435456 1100/1
565466985875/536870912 0/1 565466985875/536870912 1100/1
0/1 16857050925/536870912 1100/1 16857050925/536870912
0/1 27579046275/536870912 1100/1 27579046275/536870912
233193682425/536870912 0/1 233193682425/536870912 1100/1
40328866875/536870912 0/1 40328866875/536870912 1100/1
79916226225/134217728 0/1 79916226225/134217728 1100/1
161798725275/268435456 0/1 161798725275/268435456 1100/1
121267531825/134217728 0/1 121267531825/134217728 1100/1
500184959175/536870912 0/1 500184959175/536870912 1100/1
0/1 68970475475/67108864 1100/1 68970475475/67108864
129087221725/134217728 0/1 129087221725/134217728 1100/1
0/1 70231163475/536870912 1100/1 70231163475/536870912
152027065025/536870912 0/1 152027065025/536870912 1100/1
252341536425/268435456 0/1 252341536425/268435456 1100/1
0/1 35924744075/67108864 1100/1 35924744075/67108864
0/1 48578870175/67108864 1100/1 48578870175/67108864
205173620025/268435456 0/1 205173620025/268435456 1100/1
0/1 53028093525/134217728 1100/1 53028093525/134217728
0/1 674100075/8388608 1100/1 674100075/8388608
99793793275/268435456 0/1 99793793275/268435456 1100/1
35267352175/33554432 0/1 35267352175/33554432 1100/1
211022783675/536870912 0/1 211022783675/536870912 1100/1
0/1 50011853375/134217728 1100/1 50011853375/134217728
549127029825/536870912 0/1 549127029825/536870912 1100/1
0/1 133007698725/134217728 1100/1 133007698725/134217728
585244625075/536870912 0/1 585244625075/536870912 1100/1
83193417725/536870912 0/1 83193417725/536870912 1100/1
0/1 133542177725/134217728 1100/1 133542177725/134217728
62050517375/536870912 0/1 62050517375/536870912 1100/1
0/1 119278115275/134217728 1100/1 119278115275/134217728
0/1 352811342675/536870912 1100/1 352811342675/536870912
0/1 65453492775/268435456 1100/1 65453492775/268435456
81447094575/536870912 0/1 81447094575/536870912 1100/1
0/1 103252392375/536870912 1100/1 103252392375/536870912
0/1 506655211425/536870912 1100/1 506655211425/536870912
0/1 496454549525/536870912 1100/1 496454549525/536870912
0/1 590498578725/536870912 1100/1 590498578725/536870912
0/1 58461099125/536870912 1100/1 58461099125/536870912
147493845675/134217728 0/1 147493845675/134217728 1100/1
327043475/268435456 0/1 327043475/268435456 1100/1
124583603375/134217728 0/1 124583603375/134217728 1100/1
0/1 436938399425/536870912 1100/1 436938399425/536870912
0/1 49825213075/134217728 1100/1 49825213075/134217728
0/1 581017474125/536870912 1100/1 581017474125/536870912
0/1 61469893375/134217728 1100/1 61469893375/134217728
122803598225/268435456 0/1 122803598225/268435456 1100/1
83530132675/268435456 0/1 83530132675/268435456 1100/1
77631952475/268435456 0/1 77631952475/268435456 1100/1
0/1 72756133175/134217728 1100/1 72756133175/134217728
0/1 537930952625/536870912 1100/1 537930952625/536870912
0/1 273900434775/268435456 1100/1 273900434775/268435456
268400928125/268435456 0/1 268400928125/268435456 1100/1
0/1 238874246875/268435456 1100/1 238874246875/268435456
54977632875/134217728 0/1 54977632875/134217728 1100/1
0/1 51163807475/134217728 1100/1 51163807475/134217728
170102637925/268435456 0/1 170102637925/268435456 1100/1
44486280025/268435456 0/1 44486280025/268435456 1100/1
0/1 75654329575/134217728 1100/1 75654329575/134217728
336010113725/536870912 0/1 336010113725/536870912 1100/1
2099390975/536870912 0/1 2099390975/536870912 1100/1
179860062525/536870912 0/1 179860062525/536870912 1100/1
0/1 13456082475/67108864 1100/1 13456082475/67108864
0/1 29297737425/268435456 1100/1 29297737425/268435456
0/1 561686418425/536870912 1100/1 561686418425/536870912
121107132575/536870912 0/1 121107132575/536870912 1100/1
69735489725/536870912 0/1 69735489725/536870912 1100/1
0/1 479048811725/536870912 1100/1 479048811725/536870912
568429057075/536870912 0/1 568429057075/536870912 1100/1
282091067775/268435456 0/1 282091067775/268435456 1100/1
0/1 130389981425/268435456 1100/1 130389981425/268435456
583344216125/536870912 0/1 583344216125/536870912 1100/1
375875500275/536870912 0/1 375875500275/536870912 1100/1
0/1 49443465225/67108864 1100/1 49443465225/67108864
0/1 249822858175/268435456 1100/1 249822858175/268435456
86973762425/134217728 0/1 86973762425/134217728 1100/1
517553812325/536870912 0/1 517553812325/536870912 1100/1
0/1 99202952475/536870912 1100/1 99202952475/536870912
0/1 269921455925/536870912 1100/1 269921455925/536870912
0/1 105698295175/134217728 1100/1 105698295175/134217728
0/1 390460550425/536870912 1100/1 390460550425/536870912
229588000675/536870912 0/1 229588000675/536870912 1100/1
0/1 65507057275/134217728 1100/1 65507057275/134217728
125030527875/268435456 0/1 125030527875/268435456 1100/1
470390248625/536870912 0/1 470390248625/536870912 1100/1
245527474225/268435456 0/1 245527474225/268435456 1100/1
0/1 98819693775/536870912 1100/1 98819693775/536870912
0/1 144379524575/134217728 1100/1 144379524575/134217728
23270888575/67108864 0/1 23270888575/67108864 1100/1
0/1 20414686875/268435456 1100/1 20414686875/268435456
147123171525/134217728 0/1 147123171525/134217728 1100/1
40138014675/134217728 0/1 40138014675/134217728 1100/1
334494437475/536870912 0/1 334494437475/536870912 1100/1
0/1 1537284375/33554432 1100/1 1537284375/33554432
0/1 32686252225/33554432 1100/1 32686252225/33554432
0/1 157316879225/536870912 1100/1 157316879225/536870912
2192745775/33554432 0/1 2192745775/33554432 1100/1
0/1 13001285275/33554432 1100/1 13001285275/33554432
0/1 4993783575/134217728 1100/1 4993783575/134217728
398167317625/536870912 0/1 398167317625/536870912 1100/1
12533994825/134217728 0/1 12533994825/134217728 1100/1
0/1 553611743025/536870912 1100/1 553611743025/536870912
0/1 464943621175/536870912 1100/1 464943621175/536870912
503782055425/536870912 0/1 503782055425/536870912 1100/1
4765229425/134217728 0/1 4765229425/134217728 1100/1
0/1 335004302325/536870912 1100/1 335004302325/536870912
0/1 107619038725/134217728 1100/1 107619038725/134217728
0/1 207050601725/268435456 1100/1 207050601725/268435456
171784725475/268435456 0/1 171784725475/268435456 1100/1
274120776875/536870912 0/1 274120776875/536870912 1100/1
0/1 350864639675/536870912 1100/1 350864639675/536870912
437096826925/536870912 0/1 437096826925/536870912 1100/1
568390427825/536870912 0/1 568390427825/536870912 1100/1
60969544075/268435456 0/1 60969544075/268435456 1100/1
468661663525/536870912 0/1 468661663525/536870912 1100/1
64428431375/268435456 0/1 64428431375/268435456 1100/1
80601994825/536870912 0/1 80601994825/536870912 1100/1
0/1 363213888125/536870912 1100/1 363213888125/536870912
0/1 186758474375/268435456 1100/1 186758474375/268435456
209052337175/268435456 0/1 209052337175/268435456 1100/1
0/1 118367385125/536870912 1100/1 118367385125/536870912
50390633975/536870912 0/1 50390633975/536870912 1100/1
0/1 225647242425/536870912 1100/1 225647242425/536870912
63929389975/67108864 0/1 63929389975/67108864 1100/1
369992692575/536870912 0/1 369992692575/536870912 1100/1
371256575525/536870912 0/1 371256575525/536870912 1100/1
31549096975/268435456 0/1 31549096975/268435456 1100/1
324228795275/536870912 0/1 324228795275/536870912 1100/1
24902712725/536870912 0/1 24902712725/536870912 1100/1
128216554125/268435456 0/1 128216554125/268435456 1100/1
0/1 379095332275/536870912 1100/1 379095332275/536870912
161511230375/268435456 0/1 161511230375/268435456 1100/1
494809076025/536870912 0/1 494809076025/536870912 1100/1
0/1 149066713675/536870912 1100/1 149066713675/536870912
389936394925/536870912 0/1 389936394925/536870912 1100/1
540297250625/536870912 0/1 540297250625/536870912 1100/1
78418450825/268435456 0/1 78418450825/268435456 1100/1
36246006775/536870912 0/1 36246006775/536870912 1100/1
72759665825/536870912 0/1 72759665825/536870912 1100/1
0/1 9668339175/134217728 1100/1 9668339175/134217728
131687073375/268435456 0/1 131687073375/268435456 1100/1
45142180875/134217728 0/1 45142180875/134217728 1100/1
7394498375/134217728 0/1 7394498375/134217728 1100/1
0/1 550054742875/536870912 1100/1 550054742875/536870912
0/1 553288212125/536870912 1100/1 553288212125/536870912
0/1 170833749625/536870912 1100/1 170833749625/536870912
0/1 386314340225/536870912 1100/1 386314340225/536870912
143273771025/134217728 0/1 143273771025/134217728 1100/1
87103930375/134217728 0/1 87103930375/134217728 1100/1
515441727625/536870912 0/1 515441727625/536870912 1100/1
0/1 275834321125/536870912 1100/1 275834321125/536870912
470863030825/536870912 0/1 470863030825/536870912 1100/1
0/1 255003928025/536870912 1100/1 255003928025/536870912
115128869075/536870912 0/1 115128869075/536870912 1100/1
0/1 306957033075/536870912 1100/1 306957033075/536870912
0/1 191951431925/536870912 1100/1 191951431925/536870912
272862712375/268435456 0/1 272862712375/268435456 1100/1
0/1 34649669175/134217728 1100/1 34649669175/134217728
0/1 260493467575/268435456 1100/1 260493467575/268435456
0/1 508450729325/536870912 1100/1 508450729325/536870912
90931234075/536870912 0/1 90931234075/536870912 1100/1
0/1 193817571475/268435456 1100/1 193817571475/268435456
16062489575/134217728 0/1 16062489575/134217728 1100/1
413523553025/536870912 0/1 413523553025/536870912 1100/1
0/1 42910818225/134217728 1100/1 42910818225/134217728
0/1 306345319225/536870912 1100/1 306345319225/536870912
502212953275/536870912 0/1 502212953275/536870912 1100/1
108953142375/134217728 0/1 108953142375/134217728 1100/1
0/1 48409729225/134217728 1100/1 48409729225/134217728
458812740375/536870912 0/1 458812740375/536870912 1100/1
183239226775/536870912 0/1 183239226775/536870912 1100/1
69623004825/67108864 0/1 69623004825/67108864 1100/1
41752792675/536870912 0/1 41752792675/536870912 1100/1
286339542775/536870912 0/1 286339542775/536870912 1100/1
0/1 39613039675/67108864 1100/1 39613039675/67108864
0/1 238145405575/536870912 1100/1 238145405575/536870912
68351178225/67108864 0/1 68351178225/67108864 1100/1
0/1 20545547825/536870912 1100/1 20545547825/536870912
69444774025/134217728 0/1 69444774025/134217728 1100/1
239941322775/268435456 0/1 239941322775/268435456 1100/1
177438244775/536870912 0/1 177438244775/536870912 1100/1
0/1 30079769775/67108864 1100/1 30079769775/67108864
31854965175/67108864 0/1 31854965175/67108864 1100/1
0/1 123460748125/134217728 1100/1 123460748125/134217728
46762463275/67108864 0/1 46762463275/67108864 1100/1
21583290025/33554432 0/1 21583290025/33554432 1100/1
0/1 36860826475/67108864 1100/1 36860826475/67108864
262970610925/536870912 0/1 262970610925/536870912 1100/1
92599763025/536870912 0/1 92599763025/536870912 1100/1
0/1 205336651025/268435456 1100/1 205336651025/268435456
0/1 50520559375/134217728 1100/1 50520559375/134217728
529392782325/536870912 0/1 529392782325/536870912 1100/1
343818802525/536870912 0/1 343818802525/536870912 1100/1
0/1 128408869875/268435456 1100/1 128408869875/268435456
0/1 583966388775/536870912 1100/1 583966388775/536870912
63036931375/67108864 0/1 63036931375/67108864 1100/1
19340269025/134217728 0/1 19340269025/134217728 1100/1
0/1 64637124475/268435456 1100/1 64637124475/268435456
263750641825/536870912 0/1 263750641825/536870912 1100/1
0/1 225480137025/536870912 1100/1 225480137025/536870912
292346602075/536870912 0/1 292346602075/536870912 1100/1
0/1 297218955275/536870912 1100/1 297218955275/536870912
0/1 118480035025/134217728 1100/1 118480035025/134217728
440803951775/536870912 0/1 440803951775/536870912 1100/1
128852129725/134217728 0/1 128852129725/134217728 1100/1
0/1 219386896575/536870912 1100/1 219386896575/536870912
0/1 222417328375/536870912 1100/1 222417328375/536870912
0/1 489338888775/536870912 1100/1 489338888775/536870912
90015237675/268435456 0/1 90015237675/268435456 1100/1
205132102725/536870912 0/1 205132102725/536870912 1100/1
0/1 56915948925/67108864 1100/1 56915948925/67108864
391909628275/536870912 0/1 391909628275/536870912 1100/1
118115952075/268435456 0/1 118115952075/268435456 1100/1
0/1 191494264775/536870912 1100/1 191494264775/536870912
333997519625/536870912 0/1 333997519625/536870912 1100/1
533035342675/536870912 0/1 533035342675/536870912 1100/1
36811386425/67108864 0/1 36811386425/67108864 1100/1
126487995975/536870912 0/1 126487995975/536870912 1100/1
361021354925/536870912 0/1 361021354925/536870912 1100/1
0/1 563542804825/536870912 1100/1 563542804825/536870912
33094213075/536870912 0/1 33094213075/536870912 1100/1
0/1 266615533525/268435456 1100/1 266615533525/268435456
0/1 13758918525/536870912 1100/1 13758918525/536870912
0/1 222031366425/536870912 1100/1 222031366425/536870912
0/1 10436677625/67108864 1100/1 10436677625/67108864
0/1 177917897025/268435456 1100/1 177917897025/268435456
0/1 85950833925/134217728 1100/1 85950833925/134217728
295467838325/536870912 0/1 295467838325/536870912 1100/1
392414230725/536870912 0/1 392414230725/536870912 1100/1
0/1 65670199375/134217728 1100/1 65670199375/134217728
564655646775/536870912 0/1 564655646775/536870912 1100/1
0/1 25443211475/268435456 1100/1 25443211475/268435456
0/1 221722021125/536870912 1100/1 221722021125/536870912
98974431325/536870912 0/1 98974431325/536870912 1100/1
0/1 482144637425/536870912 1100/1 482144637425/536870912
139297751725/134217728 0/1 139297751725/134217728 1100/1
168449010675/268435456 0/1 168449010675/268435456 1100/1
0/1 112766305575/134217728 1100/1 112766305575/134217728
0/1 158373600275/268435456 1100/1 158373600275/268435456
280026889175/268435456 0/1 280026889175/268435456 1100/1
0/1 3344340175/4194304 1100/1 3344340175/4194304
0/1 218736657975/536870912 1100/1 218736657975/536870912
0/1 359805806525/536870912 1100/1 359805806525/536870912
0/1 69662169775/536870912 1100/1 69662169775/536870912
216154323275/268435456 0/1 216154323275/268435456 1100/1
103857851075/268435456 0/1 103857851075/268435456 1100/1
0/1 205965161875/536870912 1100/1 205965161875/536870912
113394236175/134217728 0/1 113394236175/134217728 1100/1
0/1 84211077775/134217728 1100/1 84211077775/134217728
0/1 200914830875/268435456 1100/1 200914830875/268435456
0/1 28798293975/33554432 1100/1 28798293975/33554432
202227967975/536870912 0/1 202227967975/536870912 1100/1
81398524075/268435456 0/1 81398524075/268435456 1100/1
24835138075/67108864 0/1 24835138075/67108864 1100/1
0/1 288843933675/268435456 1100/1 288843933675/268435456
254950370675/536870912 0/1 254950370675/536870912 1100/1
0/1 398702729425/536870912 1100/1 398702729425/536870912
63970905075/134217728 0/1 63970905075/134217728 1100/1
144060317225/536870912 0/1 144060317225/536870912 1100/1
0/1 124712892425/268435456 1100/1 124712892425/268435456
268902698625/536870912 0/1 268902698625/536870912 1100/1
0/1 443000627575/536870912 1100/1 443000627575/536870912
0/1 534350040675/536870912 1100/1 534350040675/536870912
0/1 22765611825/536870912 1100/1 22765611825/536870912
294879561625/268435456 0/1 294879561625/268435456 1100/1
239841167775/268435456 0/1 239841167775/268435456 1100/1
0/1 146836372925/536870912 1100/1 146836372925/536870912
144902939225/536870912 0/1 144902939225/536870912 1100/1
109298497825/134217728 0/1 109298497825/134217728 1100/1
0/1 220835935925/536870912 1100/1 220835935925/536870912
0/1 50908894025/134217728 1100/1 50908894025/134217728
371742202425/536870912 0/1 371742202425/536870912 1100/1
420619272425/536870912 0/1 420619272425/536870912 1100/1
24001527275/536870912 0/1 24001527275/536870912 1100/1
115996564475/536870912 0/1 115996564475/536870912 1100/1
104427706075/536870912 0/1 104427706075/536870912 1100/1
0/1 27678599575/268435456 1100/1 27678599575/268435456
193959123875/536870912 0/1 193959123875/536870912 1100/1
0/1 15426896925/33554432 1100/1 15426896925/33554432
0/1 46860145475/134217728 1100/1 46860145475/134217728
0/1 3049270125/16777216 1100/1 3049270125/16777216
0/1 172396736325/268435456 1100/1 172396736325/268435456
0/1 230007403725/536870912 1100/1 230007403725/536870912
209539977625/268435456 0/1 209539977625/268435456 1100/1
306697167425/536870912 0/1 306697167425/536870912 1100/1
209754945675/536870912 0/1 209754945675/536870912 1100/1
0/1 432084906825/536870912 1100/1 432084906825/536870912
0/1 374657293175/536870912 1100/1 374657293175/536870912
0/1 131184508125/536870912 1100/1 131184508125/536870912
49096965225/536870912 0/1 49096965225/536870912 1100/1
41479626925/134217728 0/1 41479626925/134217728 1100/1
0/1 281708580725/268435456 1100/1 281708580725/268435456
0/1 573721225/1048576 1100/1 573721225/1048576
12792904575/536870912 0/1 12792904575/536870912 1100/1
0/1 359135462675/536870912 1100/1 359135462675/536870912
170809676125/268435456 0/1 170809676125/268435456 1100/1
0/1 498967806425/536870912 1100/1 498967806425/536870912
0/1 32806757775/536870912 1100/1 32806757775/536870912
534768875025/536870912 0/1 534768875025/536870912 1100/1
0/1 120395993575/536870912 1100/1 120395993575/536870912
0/1 234776322825/536870912 1100/1 234776322825/536870912
110901520675/268435456 0/1 110901520675/268435456 1100/1
0/1 153439081125/268435456 1100/1 153439081125/268435456
48545321275/268435456 0/1 48545321275/268435456 1100/1
0/1 359450035175/536870912 1100/1 359450035175/536870912
278234295075/536870912 0/1 278234295075/536870912 1100/1
51298996925/67108864 0/1 51298996925/67108864 1100/1
488608279775/536870912 0/1 488608279775/536870912 1100/1
