600
-629122209375/16777216 1752007374375/33554432 -536611153125/33554432 239776565625/8388608
-61557549375/8388608 835420261875/16777216 -1869292010625/33554432 -49930063125/8388608
-1308246148125/33554432 18018436875/4194304 -1806757366875/33554432 -184173778125/8388608
-1244250811875/33554432 -474519748125/33554432 332158655625/8388608 -1516963246875/33554432
73845414375/8388608 206927559375/33554432 384704330625/33554432 193105404375/8388608
451928221875/33554432 -1417005478125/33554432 297293979375/16777216 -133061023125/33554432
-1977160108125/33554432 -68565511875/4194304 1635304378125/33554432 -1519497414375/33554432
20715736875/33554432 185382665625/8388608 -1039398590625/33554432 -1737602563125/33554432
48100565625/8388608 196677706875/33554432 -126189376875/8388608 -183345605625/16777216
213223618125/33554432 -1514544579375/33554432 -459379333125/33554432 18915624375/524288
413301279375/33554432 6244066875/4194304 23059494375/4194304 930244929375/16777216
28200316875/524288 1525558089375/33554432 -629767153125/33554432 -349312018125/33554432
29677486875/33554432 764831469375/16777216 -90737938125/16777216 583759119375/16777216
50590295625/33554432 1443798208125/33554432 82177430625/8388608 -851945653125/16777216
-24338060625/16777216 850454769375/33554432 -1173331108125/33554432 1772261109375/33554432
1508921338125/33554432 -557801806875/33554432 567521645625/16777216 842775106875/33554432
1449232194375/33554432 554054199375/33554432 -370400341875/33554432 231364989375/4194304
2002379293125/33554432 -475577120625/16777216 -16345648125/16777216 -100266335625/2097152
916631274375/16777216 -332408518125/33554432 669110244375/33554432 -28954006875/2097152
184700120625/4194304 -154712671875/8388608 911307073125/33554432 -747596724375/33554432
1606765265625/33554432 883216426875/16777216 982391720625/16777216 -295131163125/8388608
-123949505625/16777216 -162047698125/4194304 72977176875/2097152 -180539045625/4194304
1490963469375/33554432 -658114303125/33554432 253055210625/16777216 -1579296556875/33554432
-607984700625/16777216 766207505625/16777216 -1372065541875/33554432 213349389375/33554432
263819806875/16777216 765630800625/33554432 706698530625/16777216 -113249814375/33554432
-878119036875/33554432 416158100625/8388608 1474539253125/33554432 -845594994375/33554432
306724760625/16777216 331887778125/16777216 54056810625/2097152 1001939094375/33554432
1921243685625/33554432 -27339324375/1048576 -5084600625/131072 -1930976709375/33554432
-1606890470625/33554432 -1273120764375/33554432 -496735351875/16777216 1680647296875/33554432
-1388475050625/33554432 -1519274495625/33554432 388664214375/8388608 -1333785688125/33554432
866557363125/33554432 -1826424774375/33554432 1176534774375/33554432 85775555625/33554432
-284399150625/33554432 1645037169375/33554432 1716406156875/33554432 1287293773125/33554432
-755514571875/33554432 -24785480625/524288 -1516490251875/33554432 -51287761875/4194304
-1283733673125/33554432 -799972063125/16777216 75290465625/33554432 452019493125/8388608
-339107705625/16777216 -1194794840625/33554432 77765870625/16777216 -401085676875/8388608
-860527625625/33554432 428549195625/33554432 -409917144375/16777216 -141352858125/33554432
24051395625/4194304 177802018125/8388608 -329665348125/8388608 -990440225625/16777216
1822867974375/33554432 -65250264375/16777216 255045478125/8388608 1911177984375/33554432
-711184374375/33554432 -860060304375/16777216 29435945625/524288 -563022069375/16777216
