400
-641722254375/16777216 40407789375/16777216 -341415251875/16777216 359096698125/16777216
-233031650625/8388608 -78349738125/2097152 21434740625/1048576 296677669375/16777216
-266159041875/16777216 -153718266875/8388608 322776854375/8388608 -119974220625/8388608
-197638938125/16777216 559657494375/16777216 -28870335625/2097152 -37730510625/16777216
-126771176875/4194304 -17996264375/524288 392990746875/16777216 128065778125/4194304
160935265625/16777216 94793793125/8388608 -426401116875/16777216 -180205423125/8388608
-406817308125/16777216 -307800159375/16777216 222028654375/16777216 -257888271875/8388608
369887869375/16777216 52605274375/4194304 504091875/32768 -399750243125/16777216
-137272430625/4194304 -463646403125/16777216 67851281875/4194304 141518923125/16777216
250054125625/16777216 -212370388125/8388608 -70522546875/8388608 28825420625/8388608
-444572350625/16777216 61801846875/8388608 507532270625/16777216 145293844375/16777216
-622781729375/16777216 284703520625/16777216 -636552318125/16777216 -349075496875/16777216
3024189375/2097152 -139501215625/4194304 390053406875/16777216 306841493125/16777216
648438614375/16777216 329075216875/8388608 -239450309375/8388608 -373806288125/16777216
661213651875/16777216 467621128125/16777216 -353733051875/16777216 -230403719375/16777216
-143094460625/8388608 -9750161875/16777216 26686883125/2097152 468316910625/16777216
-40868010625/1048576 -175240213125/16777216 228948990625/8388608 -268140983125/8388608
267617243125/8388608 -5736326875/4194304 -3656249375/131072 34687425625/1048576
183365369375/16777216 1455754375/262144 -87886209375/4194304 34260385625/4194304
101643249375/4194304 667299904375/16777216 -238184055625/8388608 -831605625/16777216
50043371875/16777216 275062218125/8388608 -64187141875/16777216 -154706068125/4194304
-33132934375/8388608 547464781875/16777216 267627798125/8388608 -302915526875/8388608
-62310258125/2097152 -458240195625/16777216 -21731024375/8388608 135620983125/4194304
-355990319375/16777216 641155979375/16777216 646734348125/16777216 -116337701875/16777216
-3044903125/524288 -570220245625/16777216 -211375450625/16777216 261094416875/16777216
-192882183125/8388608 415236743125/16777216 -52276889375/4194304 -27385243125/16777216
-226443151875/8388608 -218601875/524288 2401465625/1048576 152809105625/16777216
-131134130625/16777216 -153537670625/16777216 14717259375/1048576 -516639084375/16777216
-466066051875/16777216 -145712759375/8388608 -124756736875/16777216 -38467958125/8388608
34336534375/2097152 -19556195625/16777216 -169858189375/8388608 455347599375/16777216
503783763125/16777216 196821906875/16777216 -163806206875/8388608 -253434355625/16777216
415723588125/16777216 -109624076875/8388608 -428316649375/16777216 287964073125/8388608
34337361875/4194304 -24368026875/16777216 34116690625/2097152 -187262309375/16777216
-536356788125/16777216 162097273125/4194304 12533923125/4194304 124942141875/4194304
75831346875/8388608 111314843125/16777216 -269644929375/16777216 170441960625/8388608
-397824180625/16777216 252439685625/16777216 -380239815625/16777216 -136867656875/16777216
-4651253125/16777216 375727173125/16777216 600415909375/16777216 -45454435625/4194304
-136031390625/4194304 -79435600625/4194304 522744841875/16777216 151133885625/4194304
-313452499375/16777216 91989323125/16777216 -152194338125/16777216 615581594375/16777216
-23074370625/1048576 -599291121875/16777216 -178734980625/8388608 54168924375/8388608
2405211875/4194304 52530871875/16777216 463973155625/16777216 20361381875/2097152
525107468125/16777216 159432576875/8388608 34357800625/4194304 247521980625/8388608
647725465625/16777216 -50354318125/4194304 -239293181875/16777216 -220842980625/16777216
-521591935625/16777216 -55747476875/8388608 -74709065625/4194304 1076086875/131072
138387390625/4194304 209139274375/8388608 13138208125/4194304 -97094020625/8388608
-521248236875/16777216 -228498098125/8388608 -17063855625/4194304 -233283335625/16777216
230644263125/8388608 -31108646875/16777216 501990334375/16777216 47786090625/8388608
-563219396875/16777216 -451946191875/16777216 38613565625/1048576 -243626393125/8388608
-381677916875/16777216 -181877783125/8388608 -54697845625/8388608 -120270050625/4194304
111334465625/16777216 83511691875/16777216 184898339375/16777216 110636609375/8388608
65790385625/16777216 -140883218125/16777216 -599647671875/16777216 252964010625/8388608
-72926680625/2097152 -623256071875/16777216 64683514375/8388608 -450169450625/16777216
-195142381875/8388608 67213509375/8388608 -73009643125/16777216 -233798849375/8388608
-621721641875/16777216 -139045526875/8388608 404928325625/16777216 642375999375/16777216
-15084573125/1048576 -103228125/8388608 44421063125/4194304 -136973276875/8388608
-32249473125/16777216 646688680625/16777216 122418535625/16777216 242238975625/8388608
83968221875/16777216 40808934375/2097152 35632251875/2097152 14280915625/2097152
-117963670625/8388608 560439684375/16777216 -55651301875/4194304 -624361530625/16777216
-293485704375/16777216 -165600638125/16777216 -290450530625/8388608 622730408125/16777216
-396101408125/16777216 374664789375/16777216 366057593125/16777216 -322408356875/16777216
-339071431875/16777216 250551364375/16777216 -60264589375/2097152 191929110625/16777216
-96171491875/16777216 110532490625/16777216 333739925625/16777216 -555383384375/16777216
40398523125/16777216 -25500471875/1048576 646963341875/16777216 847846875/4194304
402420855625/16777216 -68250888125/16777216 439644845625/16777216 554272285625/16777216
-561461674375/16777216 67411405625/16777216 105501173125/4194304 229248074375/8388608
568224105625/16777216 -317774170625/8388608 -93554948125/16777216 -317337908125/8388608
-263101751875/8388608 263670655625/8388608 -666042001875/16777216 -579972329375/16777216
-114565420625/4194304 12390489375/16777216 38001960625/2097152 24892011875/4194304
-45278208125/16777216 -174367418125/16777216 -298124683125/16777216 -197685763125/8388608
-212062095625/8388608 114479541875/16777216 -25152758125/16777216 606721146875/16777216
-204623283125/8388608 20131598125/4194304 358257426875/16777216 609683945625/16777216
