3400
1023809774375/8388608 6446536499375/33554432 -2862963933125/16777216 -39905066875/1048576
1787179899375/33554432 -5324709878125/33554432 -3866144685625/33554432 -11120345968125/33554432
6177964506875/33554432 30220719375/8388608 1334336215625/4194304 -3411511709375/33554432
-10492571519375/33554432 -7750733680625/33554432 694256869375/4194304 10754253390625/33554432
771556953125/8388608 -4694553899375/33554432 3038891854375/16777216 -101034793125/33554432
4946780221875/16777216 953653643125/8388608 3898267800625/16777216 -10123594785625/33554432
4431289136875/16777216 -7913847023125/33554432 -102565706875/2097152 -7502243851875/33554432
-6555061120625/33554432 -166075071875/33554432 4340960316875/33554432 10164094501875/33554432
3833820439375/33554432 26396356875/33554432 -10764068871875/33554432 -8561663855625/33554432
-8942761971875/33554432 -8788839743125/33554432 -4370222926875/16777216 8266625731875/33554432
6967948195625/33554432 9944406540625/33554432 -2862403358125/33554432 5452047273125/33554432
2170500829375/16777216 1396042539375/33554432 -310428829375/1048576 -120502895625/1048576
-9740880628125/33554432 1072084249375/8388608 -5572962918125/33554432 9437378034375/33554432
3229703360625/33554432 4793028800625/33554432 -598151534375/16777216 -8784781503125/33554432
3360171539375/33554432 -5734700004375/33554432 149175244375/16777216 -4907430789375/33554432
673950369375/4194304 -2404512098125/16777216 5271170418125/33554432 3497459055625/16777216
-71109183125/33554432 -4674663155625/16777216 -3984061551875/33554432 9120258525625/33554432
-1455250798125/16777216 -9941088013125/33554432 7469214105625/33554432 -4638961774375/16777216
2657319119375/16777216 -1282671239375/16777216 9341088419375/33554432 783441525625/8388608
2984887019375/33554432 7088960506875/33554432 -1270558718125/8388608 -2236267156875/33554432
-1840939849375/33554432 -3534217156875/16777216 -3359090913125/16777216 2336864529375/8388608
8632058475625/33554432 3638014439375/33554432 -2283093550625/8388608 7812077649375/33554432
-1074458851875/16777216 46476438125/1048576 3427445745625/16777216 -459430769375/2097152
-2074179403125/8388608 -4898291206875/33554432 -4752149431875/33554432 4842305574375/33554432
7728295699375/33554432 -1602912798125/16777216 -1870972920625/33554432 10993195679375/33554432
-7193957925625/33554432 -8351883345625/33554432 -829392483125/4194304 3421190404375/16777216
1396849678125/33554432 -9093826904375/33554432 2585247024375/8388608 8748291683125/33554432
2810132353125/33554432 195980706875/33554432 2767448179375/8388608 1132983391875/8388608
11407401231875/33554432 547600738125/8388608 -3968064403125/16777216 5397616248125/33554432
-2547973164375/33554432 -9974485490625/33554432 338126121875/33554432 -4094866128125/33554432
2887227119375/33554432 170939111875/1048576 -9078446324375/33554432 -81340059375/8388608
-10190000376875/33554432 132975625625/4194304 -4173778045625/16777216 -4851370675625/33554432
994054206875/4194304 1035498230625/8388608 -486850728125/4194304 6231205850625/33554432
3636738631875/33554432 -1705923554375/16777216 9083322349375/33554432 1342380084375/8388608
-6102373836875/33554432 9409618075625/33554432 -9017736710625/33554432 4724578364375/16777216
7361576076875/33554432 3019353265625/16777216 5036727944375/33554432 -3437921698125/33554432
-4231675689375/16777216 585372379375/33554432 6108012226875/33554432 9829080028125/33554432
8100034975625/33554432 2575967319375/16777216 2230427699375/33554432 -6324100629375/33554432
3927252184375/33554432 6982778868125/33554432 -8832459193125/33554432 -5293206986875/16777216
9920202386875/33554432 2700692430625/33554432 1789886171875/33554432 -340469911875/4194304
-504718790625/2097152 7970635140625/33554432 8278666789375/33554432 -286103338125/4194304
3656760743125/33554432 315580551875/4194304 -10151573173125/33554432 -7126117661875/33554432
640422501875/2097152 -1699488438125/16777216 -564351815625/33554432 -4423908416875/16777216
-8670015586875/33554432 -10549435053125/33554432 1112338995625/33554432 3282002628125/33554432
1536722384375/16777216 6733900334375/33554432 -9569807800625/33554432 -5286275938125/16777216
348716505625/2097152 -1856484564375/33554432 -5257551123125/33554432 -2555833858125/33554432
-2943595910625/16777216 8557647414375/33554432 -6797396875/2097152 -7138936129375/33554432
-5550729234375/33554432 1395873155625/8388608 7334382643125/33554432 -11019688181875/33554432
-1814451830625/33554432 1391150151875/16777216 -4756209818125/33554432 4294050453125/33554432
7901462905625/33554432 1302737104375/8388608 2662097351875/8388608 -2455040794375/8388608
-1965882071875/33554432 -6598210456875/33554432 3109468140625/16777216 4143285336875/33554432
3423184759375/16777216 -11266037795625/33554432 11326560749375/33554432 4084063435625/33554432
-10353541354375/33554432 -78157744375/2097152 6045185390625/33554432 4157953106875/33554432
5131313479375/16777216 -3340733038125/33554432 11088724650625/33554432 -6943854924375/33554432
-5490199671875/33554432 2912344385625/33554432 8862475455625/33554432 2056881775625/33554432
912830523125/4194304 4972194605625/33554432 1041201326875/8388608 -715300574375/8388608
3220646546875/16777216 -8843354429375/33554432 1212286075625/8388608 767327055625/4194304
2946918709375/16777216 4517126875625/33554432 -833391499375/16777216 247716041875/1048576
10567985261875/33554432 -3901624811875/16777216 4125336736875/16777216 5699354093125/33554432
4071247624375/33554432 10275682735625/33554432 2050560410625/8388608 2288571843125/16777216
4335846971875/16777216 8038454749375/33554432 3925326700625/16777216 355053170625/33554432
-153766285625/8388608 660449649375/33554432 2627890546875/8388608 -3141997980625/33554432
-3247363236875/16777216 7043101625625/33554432 -3836351909375/33554432 -271475348125/33554432
-2333295166875/16777216 349276230625/2097152 -470336875/65536 10735694533125/33554432
-5153847510625/16777216 -589695670625/8388608 2115719370625/16777216 -3980589896875/33554432
-463100261875/8388608 -2715669515625/8388608 -5165758751875/16777216 -8906411913125/33554432
-9934103223125/33554432 8528835984375/33554432 -41710976875/131072 -1880420330625/33554432
-3531873898125/33554432 2900466974375/33554432 4495515370625/33554432 -2258005673125/8388608
-2395948794375/33554432 315951534375/1048576 3122586891875/33554432 4978142671875/33554432
-2384856336875/16777216 -383558685625/2097152 -1093406329375/8388608 -1962135484375/16777216
