1200
200537885625/2097152 278512408125/8388608 -1285028750625/16777216 138983315625/2097152
1610248125/16777216 279417781875/16777216 143005636875/16777216 664593800625/16777216
1968562813125/16777216 -100916510625/1048576 -1823305561875/16777216 -376782069375/8388608
-1576297344375/16777216 535434271875/16777216 -1291943833125/16777216 -1736345488125/16777216
-382102261875/4194304 753208246875/16777216 -1794253490625/16777216 661236541875/8388608
-2264919375/65536 1528998991875/16777216 1270152226875/16777216 512089453125/16777216
1508950813125/16777216 133634274375/16777216 280560429375/8388608 -856699254375/16777216
-952869091875/8388608 -251049500625/2097152 542123071875/8388608 -10733960625/2097152
-99507613125/4194304 635203629375/8388608 1071367824375/16777216 37598465625/8388608
-1193267735625/16777216 44268384375/524288 -1266985745625/16777216 9130580625/131072
822218503125/16777216 1906837089375/16777216 155636353125/2097152 -392085219375/16777216
-251225495625/16777216 1631194033125/16777216 -230925890625/4194304 -1777185879375/16777216
1413590806875/16777216 978432545625/8388608 1984560826875/16777216 308740843125/8388608
-1634466628125/16777216 -464588728125/8388608 -1142352410625/16777216 -602221036875/8388608
144886663125/8388608 -1174562623125/16777216 -619236845625/8388608 461022504375/8388608
1900722028125/16777216 568913623125/16777216 -710545925625/16777216 422248374375/8388608
823422354375/8388608 827353018125/16777216 510850040625/8388608 -35116558125/524288
767314265625/16777216 -327848750625/8388608 -927735301875/16777216 1739408180625/16777216
-648597796875/8388608 -255199663125/8388608 -624718445625/8388608 27276043125/4194304
-406506744375/16777216 -98831795625/2097152 -452420191875/4194304 -568164114375/16777216
-18696564375/2097152 54268854375/2097152 1535865346875/16777216 672232288125/16777216
1625569258125/16777216 -48895569375/524288 -82418120625/1048576 -1391803426875/16777216
72699361875/8388608 -17682144375/2097152 -1480770463125/16777216 850310625/65536
-993341120625/16777216 -798395975625/16777216 -745475326875/8388608 1510008328125/16777216
-471964273125/16777216 -445632328125/16777216 -1925978863125/16777216 -481801875/524288
1389852890625/16777216 -186908870625/16777216 -40688056875/524288 -1037802324375/16777216
955440523125/8388608 1231821219375/16777216 -842896809375/16777216 -56857138125/16777216
-1375483824375/16777216 -482168900625/16777216 -268963726875/8388608 -1782209615625/16777216
669571603125/8388608 -740254618125/16777216 -38799826875/8388608 -225655070625/2097152
-1393788005625/16777216 -38507803125/524288 -1771896748125/16777216 399114740625/4194304
-283075288125/8388608 -139625184375/8388608 86267743125/1048576 1303126333125/16777216
243934839375/16777216 -531243470625/16777216 1940051709375/16777216 -269018101875/8388608
1652727748125/16777216 679228816875/16777216 250197106875/8388608 927834286875/8388608
-1461948279375/16777216 -425778414375/16777216 -508937915625/8388608 45926701875/16777216
-718902774375/8388608 -1186668508125/16777216 246586126875/2097152 -1014022381875/16777216
368331534375/8388608 -333845083125/4194304 -1038565385625/16777216 944353471875/16777216
-22680778125/2097152 883430203125/16777216 770842055625/8388608 325474216875/8388608
-1023275625/524288 13838086875/4194304 165745644375/8388608 -306536203125/8388608
555723849375/16777216 88251511875/8388608 -495199314375/16777216 1025955463125/16777216
-659936008125/16777216 -306102706875/8388608 1502332145625/16777216 1159348760625/16777216
1323158191875/16777216 1517900401875/16777216 -3260176875/32768 -1613303638125/16777216
919574776875/16777216 -1542857578125/16777216 58013315625/1048576 -145753355625/16777216
-31069299375/4194304 18277254375/2097152 -1308861455625/16777216 9167446875/8388608
188136286875/2097152 -766997885625/16777216 1155546470625/16777216 -821258615625/8388608
516956919375/8388608 -1255868611875/16777216 -672324129375/8388608 338700260625/16777216
773691714375/8388608 234681369375/4194304 1873678374375/16777216 558090163125/8388608
-1892569644375/16777216 799243029375/8388608 233592568125/2097152 70175188125/2097152
-174293334375/2097152 315008919375/8388608 661243460625/8388608 165256246875/8388608
-116672563125/8388608 -39112794375/524288 28939741875/1048576 -442730274375/16777216
40423565625/524288 633238415625/8388608 -711754235625/8388608 -919272470625/8388608
342116188125/16777216 -1688118849375/16777216 -949540745625/16777216 595913251875/8388608
1805271680625/16777216 -1188180376875/16777216 -478964465625/16777216 -48785323125/524288
296530288125/4194304 363252635625/4194304 433666261875/8388608 -150718404375/8388608
-453686375625/16777216 288656101875/8388608 1468535731875/16777216 418758650625/4194304
