2200
-36022160625/262144 3136405971875/16777216 -4651437360625/33554432 3536870583125/16777216
184994899375/8388608 101985269375/8388608 -921956055625/16777216 -4312790411875/33554432
-5401223375625/33554432 -380612574375/16777216 -5238852678125/33554432 5638089455625/33554432
130229240625/8388608 161847599375/33554432 -5190220261875/33554432 1022965673125/8388608
-22489589375/4194304 -1332462484375/8388608 176716615625/2097152 319035014375/33554432
6269992224375/33554432 7348198405625/33554432 -4874421028125/33554432 -933225803125/8388608
-368431174375/8388608 -3764301701875/33554432 1980951121875/16777216 -2320188633125/16777216
-6451453724375/33554432 -34108944375/8388608 1910801014375/33554432 -701891554375/33554432
-365195428125/8388608 5831162624375/33554432 -3576459198125/33554432 3785296741875/33554432
-353813054375/16777216 -326247563125/2097152 6810020146875/33554432 6153918079375/33554432
3177075433125/33554432 681291483125/33554432 1688476631875/16777216 2560159930625/16777216
3858230014375/33554432 2907731523125/33554432 -7300320465625/33554432 7129240628125/33554432
2635771318125/33554432 -491346549375/8388608 -1905909548125/33554432 1829972574375/16777216
-3487599176875/16777216 3371592035625/16777216 -701936379375/4194304 778833103125/8388608
578727373125/4194304 -1599273149375/16777216 -4579105513125/33554432 3093003340625/33554432
-4785848601875/33554432 2902897971875/16777216 -5048042511875/33554432 -2077474265625/16777216
-2389255295625/33554432 479123638125/8388608 2688411460625/33554432 92190855625/2097152
7352523344375/33554432 -1426588508125/33554432 1184593911875/8388608 6147913866875/33554432
-5799083283125/33554432 7101316633125/33554432 1374835584375/16777216 25770339375/2097152
-5707885913125/33554432 3981226583125/33554432 -1850092784375/33554432 1169470644375/16777216
1478191034375/8388608 -4234182060625/33554432 -686015941875/33554432 -5951436858125/33554432
-5068197605625/33554432 -175811714375/2097152 2323065586875/16777216 -1416286100625/8388608
-2926124760625/33554432 -61382289375/1048576 750284583125/4194304 -983744128125/8388608
6037302610625/33554432 4997774931875/33554432 -1621642213125/16777216 -4971917795625/33554432
799199809375/33554432 -3461631971875/33554432 2091176649375/16777216 -127985158125/1048576
-2858012306875/33554432 -5103642396875/33554432 -915420639375/16777216 1207143045625/33554432
-2234295600625/33554432 -2541678514375/16777216 7164409044375/33554432 3435345601875/16777216
5819866696875/33554432 221029785625/1048576 608570139375/16777216 -750954400625/8388608
7147057190625/33554432 1670444180625/8388608 -3585766669375/33554432 -2031205928125/33554432
3721274596875/33554432 -2364296900625/33554432 1849182685625/16777216 -3629177633125/33554432
853962869375/16777216 4196033345625/33554432 -2468479468125/16777216 5997537445625/33554432
-5002394375/16777216 61291566875/2097152 -4565258520625/33554432 -6589732675625/33554432
-1246675560625/16777216 78114306875/1048576 6742932508125/33554432 -3000004088125/33554432
2932937720625/16777216 -3976971673125/33554432 -1968720043125/16777216 4792007900625/33554432
-6080666934375/33554432 3104279756875/33554432 -1011481370625/8388608 -516896771875/8388608
-6067461461875/33554432 2636918851875/16777216 1814455754375/8388608 -193597861875/2097152
2886107970625/16777216 -1494906950625/33554432 3651459054375/16777216 -639808131875/8388608
-6698982915625/33554432 5585369549375/33554432 -130543221875/8388608 -2484499923125/33554432
33688964375/2097152 -1986735320625/33554432 -4034347948125/33554432 -6301188320625/33554432
3453137675625/16777216 -887534553125/33554432 -2842553841875/33554432 4552700961875/33554432
4416495469375/33554432 -2659943075625/33554432 1089877600625/8388608 -7272400334375/33554432
-651320181875/4194304 -100336685625/4194304 6235237586875/33554432 -4471155596875/33554432
-226197406875/1048576 -1054383666875/8388608 4090727746875/33554432 19535690625/33554432
1114189346875/33554432 4562189506875/33554432 -4393778723125/33554432 -209382765625/2097152
-4786880800625/33554432 3974755131875/33554432 -6822915020625/33554432 7006359463125/33554432
-320202471875/2097152 641898640625/8388608 -3152768636875/33554432 -1245991360625/8388608
1188501579375/8388608 595454578125/4194304 7155625654375/33554432 363265381875/33554432
-618368416875/8388608 -4277930903125/33554432 1031366290625/16777216 -1806138214375/33554432
-2814260824375/16777216 -707101154375/4194304 -1919583620625/33554432 -2296513484375/16777216
140891884375/33554432 -7188693538125/33554432 2782989446875/33554432 1181733843125/16777216
-27935345625/8388608 92652044375/2097152 -1738914354375/33554432 1842147113125/8388608
-412072148125/33554432 651662350625/33554432 -1282965784375/33554432 -256478151875/8388608
1859787194375/33554432 -951978589375/8388608 417786483125/33554432 77452285625/2097152
186289475625/4194304 6955502599375/33554432 -4708574633125/33554432 -1092291234375/8388608
6851343489375/33554432 -588422828125/4194304 -876654343125/8388608 -778224308125/33554432
-5682257714375/33554432 -6922253174375/33554432 -6040936405625/33554432 -3575229975625/33554432
-752601911875/4194304 -1375261586875/16777216 -4227899465625/33554432 407454238125/33554432
-1540693185625/33554432 441629918125/16777216 -1229802014375/33554432 5835238041875/33554432
