2000
1254752384375/16777216 183893121875/8388608 -1242933203125/16777216 604931153125/16777216
-493781103125/16777216 -23292590625/524288 -524477446875/16777216 56416215625/1048576
-393481659375/4194304 6489965625/8388608 1106328946875/8388608 -11178178125/524288
-618386209375/8388608 773178034375/4194304 -313645253125/2097152 -3027608446875/16777216
2883435684375/16777216 1108243078125/8388608 2658031553125/16777216 -1185133890625/8388608
-872419321875/16777216 562681434375/16777216 -746061715625/4194304 -2594029653125/16777216
582707209375/16777216 154432965625/8388608 -1077746384375/16777216 -161024646875/1048576
800148259375/4194304 655156621875/4194304 2651725034375/16777216 550255009375/4194304
2918937140625/16777216 262626571875/16777216 640233928125/16777216 967152940625/8388608
274190415625/4194304 -3348494921875/16777216 3241181165625/16777216 -2963472278125/16777216
-182290625/16777216 45760946875/2097152 -2092637203125/16777216 -1954505928125/16777216
52149046875/524288 812537840625/8388608 -1618283665625/8388608 124836784375/2097152
2004070584375/16777216 411811584375/16777216 -2739283240625/16777216 -2569308871875/16777216
551860546875/4194304 64413215625/4194304 1589358140625/16777216 -1187661421875/16777216
-410732953125/8388608 1154275728125/8388608 -888267734375/8388608 -159217596875/8388608
466859321875/4194304 -2107157846875/16777216 1133385034375/8388608 1671325190625/8388608
-488110321875/16777216 17129209375/2097152 402701746875/4194304 3027369265625/16777216
-1544481684375/16777216 -584285753125/4194304 -1495512553125/8388608 -1583024921875/16777216
1546091178125/16777216 921050353125/16777216 1551273659375/16777216 -1184164259375/8388608
-443015290625/16777216 -774898946875/4194304 -2620702603125/16777216 -787284134375/8388608
88591740625/16777216 -102892484375/524288 -762154796875/16777216 -2721771903125/16777216
3747603125/8388608 -690148509375/4194304 -3075630328125/16777216 -2326992834375/16777216
2121386865625/16777216 -630419121875/4194304 349065159375/8388608 -513455321875/4194304
846154615625/16777216 -2369936028125/16777216 441867940625/4194304 1855543128125/16777216
1650279140625/8388608 509936115625/4194304 -478614103125/8388608 1112558196875/8388608
-1518336684375/8388608 123271559375/1048576 745420309375/8388608 -290413640625/2097152
-1263622815625/8388608 3268909690625/16777216 -677773478125/16777216 3310133815625/16777216
982771878125/16777216 -746129259375/8388608 -1514749953125/16777216 994425721875/8388608
591960953125/8388608 -40327340625/16777216 -477143515625/8388608 -436181778125/16777216
2442023028125/16777216 -187252259375/8388608 185758559375/8388608 100539759375/8388608
2952181959375/16777216 -424882978125/16777216 -443738309375/8388608 -338413503125/4194304
-785303396875/16777216 712475853125/16777216 -1137134928125/8388608 -174464209375/4194304
785866971875/8388608 1322049815625/8388608 -1779285428125/16777216 562131196875/16777216
357035409375/2097152 2045866590625/16777216 48084446875/2097152 -431671115625/8388608
-121591365625/2097152 -1231326353125/16777216 -2831888234375/16777216 87343396875/16777216
-1279535653125/8388608 -295574328125/2097152 3017929071875/16777216 -903542596875/8388608
740880603125/4194304 1423719840625/8388608 1628904290625/8388608 -501811253125/4194304
646754959375/4194304 87891965625/524288 -27186096875/4194304 -2633753371875/16777216
-139617028125/1048576 3189507928125/16777216 261377196875/16777216 715074234375/4194304
-976868253125/16777216 -446924353125/4194304 2168738690625/16777216 -2274578959375/16777216
-2810366884375/16777216 -966594796875/16777216 767121809375/16777216 92592934375/4194304
404217703125/4194304 12054628125/4194304 -1579955271875/16777216 575636446875/8388608
-2652974415625/16777216 -946640128125/16777216 527326046875/4194304 1488737084375/16777216
303613878125/16777216 -56891303125/4194304 -200262315625/2097152 -10907540625/2097152
-50074565625/524288 2372162178125/16777216 -1436035765625/8388608 -1644887240625/16777216
963341340625/16777216 -268985628125/4194304 272290890625/8388608 226944340625/8388608
-813533534375/16777216 -337453734375/2097152 -12739596875/65536 -3330536959375/16777216
1023367896875/16777216 2688926684375/16777216 -289102621875/4194304 500958365625/16777216
-515266096875/4194304 -1348533365625/8388608 -1291469128125/8388608 1389354709375/16777216
1062770334375/16777216 374286028125/4194304 -1599296678125/16777216 21657134375/2097152
665175403125/8388608 -113625640625/1048576 -1643794665625/8388608 -1709116646875/16777216
-1090386796875/16777216 -3328332340625/16777216 1652680178125/8388608 -746987059375/4194304
-338697084375/8388608 -665753896875/16777216 -2504881165625/16777216 -375515528125/16777216
1906315365625/16777216 -1452394928125/8388608 -2567328859375/16777216 -666885640625/4194304
-1017407271875/16777216 127299703125/4194304 2071762034375/16777216 -1751123153125/16777216
1972515453125/16777216 1114839615625/16777216 -2862362296875/16777216 14708565625/131072
1931255321875/16777216 -1392811834375/8388608 -1273064584375/16777216 -2356947284375/16777216
-1855568328125/16777216 1736388646875/16777216 -2959994928125/16777216 387951203125/4194304
667217990625/16777216 522958865625/8388608 2145409034375/16777216 -21043096875/8388608
1627069559375/8388608 1289112609375/16777216 -2457634296875/16777216 57529803125/2097152
2382106015625/16777216 -1661444453125/8388608 2095800728125/16777216 3073249734375/16777216
-2762059496875/16777216 1463603234375/16777216 672083059375/4194304 400992228125/16777216
-281300378125/8388608 -1304318965625/16777216 2637422821875/16777216 1115902340625/8388608
434151253125/4194304 -1867847734375/16777216 -2781061471875/16777216 54123540625/1048576
2170237346875/16777216 2252080053125/16777216 571679534375/4194304 -148227903125/4194304
1865558015625/16777216 42658765625/4194304 -1448423284375/16777216 -2367500128125/16777216
-786038290625/4194304 2853969490625/16777216 102506665625/8388608 -700522946875/16777216
-650696421875/8388608 2643434990625/16777216 -651574853125/16777216 802073634375/8388608
-2527728278125/16777216 -261014546875/2097152 -39298203125/524288 3099810115625/16777216
207330303125/16777216 -500498578125/8388608 1454778446875/16777216 3071399959375/16777216
-1587560859375/16777216 -469780084375/8388608 1520342453125/16777216 -2897045484375/16777216
-3101443040625/16777216 438370540625/4194304 291581871875/2097152 1156039134375/8388608
399541553125/8388608 -1163882403125/8388608 70666221875/2097152 1589701428125/8388608
-272227859375/16777216 109080959375/4194304 1422103096875/8388608 488814721875/4194304
-1030082771875/16777216 672154815625/4194304 -1564529653125/8388608 -399575846875/4194304
345009959375/16777216 -60480134375/2097152 149129765625/8388608 -2615328865625/16777216
763965596875/8388608 -48910534375/8388608 3251879884375/16777216 -220304890625/4194304
-2855041690625/16777216 -596933690625/8388608 1023800515625/16777216 -2933515309375/16777216
-494335259375/8388608 579555984375/8388608 -1416067171875/16777216 299765571875/4194304
-1673827303125/16777216 -653806815625/4194304 -496929065625/4194304 1295493834375/16777216
1363482128125/8388608 -216050009375/4194304 1856948203125/16777216 -1042547871875/8388608
-847586290625/8388608 -1484138378125/8388608 1087345803125/8388608 -48774865625/1048576
575171134375/4194304 445509596875/4194304 373140615625/16777216 2868214403125/16777216
823844453125/8388608 1786902153125/16777216 -420739359375/8388608 1370883746875/8388608
822254590625/8388608 -768602628125/16777216 -73105715625/2097152 -2507431934375/16777216
-2894198521875/16777216 -1992347596875/16777216 375924371875/8388608 -307565965625/16777216
-2973937021875/16777216 989524446875/8388608 2300975340625/16777216 -1185441028125/16777216
182238434375/2097152 247057478125/8388608 345370046875/2097152 -946420221875/8388608
733646953125/4194304 208816446875/1048576 -2591055615625/16777216 -1135180690625/8388608
25367415625/8388608 3023030765625/16777216 1487066996875/16777216 -3114562803125/16777216
27412784375/1048576 -2244567346875/16777216 950738609375/16777216 971486240625/16777216
564867428125/4194304 -1085521115625/16777216 -159614409375/8388608 1952014640625/16777216
375743646875/16777216 953149565625/16777216 -48449034375/16777216 1095789821875/16777216
-160339615625/16777216 -1407647953125/8388608 2964559153125/16777216 804157390625/4194304
1416659721875/16777216 -2882709528125/16777216 151082159375/1048576 1515268890625/16777216
708698996875/4194304 -1103111834375/16777216 1421861278125/16777216 106247134375/8388608
-2158290734375/16777216 3198952084375/16777216 1628283828125/16777216 -1741772834375/16777216
-1837829190625/16777216 -2311158234375/16777216 -1517204746875/8388608 -2422593584375/16777216
-1963394415625/16777216 -498563690625/4194304 757580771875/4194304 -1487232278125/16777216
-2365725934375/16777216 -2597383778125/16777216 2812633534375/16777216 329736346875/8388608
-1163340703125/16777216 -76167634375/8388608 -523876353125/16777216 -148906296875/1048576
-1520738946875/16777216 -1662671328125/16777216 -498372346875/16777216 1633315571875/16777216
1870725290625/16777216 -450883915625/4194304 -86205765625/16777216 3095134403125/16777216
-2622755584375/16777216 -893525453125/16777216 2146486453125/16777216 2157860015625/16777216
-1584660690625/16777216 1270045084375/8388608 1217863265625/16777216 1404000396875/16777216
785687421875/16777216 -1150365090625/16777216 -168847446875/16777216 749861028125/16777216
449363015625/16777216 -1554783534375/16777216 1626404221875/16777216 -1085622334375/8388608
-1349549565625/16777216 452892509375/8388608 -134438334375/8388608 -1593123421875/16777216
-833601859375/8388608 -490844040625/4194304 -85776740625/16777216 3096430734375/16777216
-892690815625/8388608 1780600853125/16777216 -3270754990625/16777216 1678899109375/16777216
-392112390625/2097152 1063465415625/8388608 96123684375/2097152 -2741255415625/16777216
-1366520778125/16777216 558211171875/8388608 212647071875/16777216 990525853125/16777216
