1000
1300765553125/16777216 762230053125/8388608 -2497860696875/33554432 -571617940625/8388608
21609490625/16777216 2802667428125/33554432 828662834375/16777216 422615646875/16777216
-2385657259375/33554432 2587997090625/33554432 820487428125/8388608 67641253125/4194304
-1490096503125/16777216 426462665625/8388608 -662247090625/33554432 146333809375/8388608
3120191034375/33554432 -993025096875/33554432 -671499996875/8388608 -496377509375/33554432
-29325809375/8388608 432213321875/16777216 63011690625/1048576 -26918128125/16777216
1023984290625/16777216 -2368633503125/33554432 2871664384375/33554432 -3170413990625/33554432
-754677790625/16777216 -529956971875/33554432 -464075246875/33554432 -2584413153125/33554432
224708165625/8388608 207748834375/8388608 206573184375/8388608 -90497703125/4194304
198629765625/8388608 -2825764278125/33554432 1089344646875/16777216 961349503125/16777216
2977513528125/33554432 -2484101659375/33554432 309192846875/33554432 -302670240625/16777216
-393502315625/16777216 -134706709375/2097152 -877565625/1048576 -3315245084375/33554432
-2076030053125/33554432 -178976990625/8388608 -1581338546875/16777216 815065715625/16777216
337106465625/16777216 -382274190625/8388608 213792621875/8388608 3182704159375/33554432
-1404771465625/33554432 -53342084375/1048576 -367223371875/4194304 672648278125/8388608
1086055509375/33554432 421318903125/16777216 348565928125/16777216 -2042696671875/33554432
701445528125/16777216 -1541028021875/16777216 1063648271875/16777216 820033565625/16777216
2323427921875/33554432 369130590625/33554432 -1665487609375/33554432 1429264784375/33554432
-2943124603125/33554432 -310091365625/16777216 -3307013115625/33554432 402404640625/16777216
-318175365625/8388608 -3215431365625/33554432 -515847715625/33554432 711438684375/8388608
-9141871875/262144 438619259375/33554432 459818096875/8388608 192973365625/8388608
-787772865625/16777216 496925959375/8388608 -1198810284375/33554432 -628315146875/8388608
418990678125/4194304 339376809375/8388608 -2489840303125/33554432 1154664253125/16777216
993275034375/16777216 2712903603125/33554432 1509613759375/33554432 -656871021875/16777216
1546333646875/16777216 -1137071746875/16777216 -380588709375/33554432 -2695562940625/33554432
-650542940625/8388608 -2913032603125/33554432 -2136200421875/33554432 2958170096875/33554432
-858527753125/33554432 -495703096875/8388608 -169338778125/4194304 2432435246875/33554432
-563120521875/33554432 1568797709375/16777216 749917403125/8388608 678063134375/33554432
43268290625/8388608 82011121875/1048576 -1067204546875/16777216 48892728125/2097152
2903913484375/33554432 -2248891646875/33554432 -1140434709375/16777216 1985961953125/33554432
942974859375/33554432 1541715365625/33554432 -204897015625/8388608 450472671875/33554432
1617995346875/33554432 2841606353125/33554432 688922478125/33554432 967453509375/16777216
108069071875/4194304 -101443715625/2097152 -1011461503125/33554432 1649571034375/16777216
-3168233609375/33554432 218933828125/33554432 301244196875/33554432 -1703174003125/33554432
2352908409375/33554432 -895359553125/33554432 -844228696875/16777216 -27962678125/33554432
-53314509375/1048576 1481882628125/33554432 -76205540625/1048576 3192272403125/33554432
78942603125/4194304 -7683778125/524288 93611521875/4194304 -2999625821875/33554432
1207892578125/33554432 1681671759375/33554432 105460615625/16777216 1387017071875/16777216
2874534803125/33554432 72309890625/16777216 2584516234375/33554432 346742509375/33554432
-2183472596875/33554432 394883115625/16777216 -136358034375/2097152 1244372440625/16777216
339080234375/8388608 -190572321875/16777216 -2453163734375/33554432 -59177878125/2097152
306487434375/33554432 468362778125/16777216 -2579417015625/33554432 -2997520053125/33554432
-17804328125/8388608 -1576134315625/16777216 2030134603125/33554432 2583205678125/33554432
159445984375/33554432 720594840625/8388608 544425859375/16777216 687956134375/8388608
-475533165625/33554432 -618716828125/8388608 1860469959375/33554432 511573265625/33554432
-2562033809375/33554432 -29989040625/2097152 -340648128125/33554432 1649971328125/16777216
752396603125/8388608 1636660371875/33554432 60797803125/33554432 -1564358740625/33554432
345682578125/4194304 -153339409375/4194304 2262544003125/33554432 -366481696875/16777216
14150284375/1048576 -4683446875/2097152 53500709375/8388608 495481240625/16777216
2972077228125/33554432 -444004921875/8388608 -900049009375/16777216 1334998640625/33554432
-2592323203125/33554432 794259515625/8388608 -2734359878125/33554432 415195903125/33554432
-3123984465625/33554432 601830015625/8388608 -2789813315625/33554432 -1858834171875/33554432
2812306540625/33554432 -86952059375/33554432 123433721875/8388608 93284221875/8388608
-1239800665625/33554432 1649500403125/33554432 -1630805871875/16777216 685656109375/33554432
281338078125/33554432 -1741496875/65536 2601475590625/33554432 -300813178125/33554432
-660244146875/16777216 -299053090625/33554432 -1188075065625/16777216 -2549515821875/33554432
-1728660490625/33554432 -25850009375/524288 906028215625/33554432 -2523399646875/33554432
-26242828125/4194304 -170779453125/2097152 40938103125/4194304 1350772209375/16777216
